from,to,distance_m,duration_s
NO01+,FI1C1,811149.0,54553.0
NO01+,FI1D7,1586935.0,69603.0
NO01+,FI1D8,1624826.0,70666.0
NO01+,FI1D9,1482168.0,65888.0
NO01+,FI1DB,1358937.0,70700.0
NO01+,FI1DC,1476744.0,76758.0
NO01+,FI200,660629.0,33914.0
NO01+,NO020,272309.0,13169.0
NO01+,NO060,605027.0,28214.0
NO01+,NO071,1190218.0,56422.0
NO01+,NO072,1715006.0,77046.0
NO01+,NO085,217023.0,11837.0
NO01+,NO092,399884.0,18491.0
NO01+,NO094,210649.0,11863.0
NO01+,NO0A1,473667.0,27413.0
NO01+,NO0A2,416450.0,22598.0
NO01+,NO0A3,489835.0,23076.0
NO01+,SE11+,405501.0,17601.0
NO01+,SE21+,526076.0,21871.0
NO01+,SE22+,485355.0,20129.0
NO01+,SE232,260180.0,11137.0
NO01+,SE311,191239.0,9725.0
NO01+,SE312,355804.0,17498.0
NO01+,SE313,491584.0,24467.0
NO01+,SE321,715159.0,33298.0
NO01+,SE322,630387.0,29059.0
NO01+,SE331,938705.0,42961.0
NO020,DK02,920034.0,36975.0
NO020,DK03,830030.0,38907.0
NO020,DK04,714735.0,35431.0
NO020,DK050,614101.0,31386.0
NO020,FI19+,1028461.0,60167.0
NO020,FI196,1149731.0,65623.0
NO020,FI198,1182174.0,66550.0
NO020,FI19B,1184751.0,67573.0
NO020,FI1B+,1327056.0,71573.0
NO020,FI1C-,1378056.0,75232.0
NO020,FI1C1,1268290.0,70202.0
NO020,FI1D7,1481448.0,68121.0
NO020,FI1D8,1519339.0,69184.0
NO020,FI1D9,1376682.0,64406.0
NO020,FI1DB,1291734.0,70651.0
NO020,FI1DC,1409540.0,76710.0
NO020,FI200,834096.0,43219.0
NO020,NO01+,273138.0,13411.0
NO020,NO060,400223.0,20583.0
NO020,NO071,985415.0,48791.0
NO020,NO072,1387330.0,71288.0
